"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","Description","GeneType","EnsemblGeneID"
"57104",12411.7576161751,-2.95347954502544,0.194094331544936,-15.2167223097994,2.739146838551e-52,7.00865501580044e-48,"PNPLA2","patatin like phospholipase domain containing 2","protein-coding","ENSG00000177666"
"153579",4621.51841755279,-3.84547333988383,0.257425609542808,-14.9381926169407,1.85950551653686e-50,2.37895838258144e-46,"BTNL9","butyrophilin like 9","protein-coding","ENSG00000165810"
"119385",3780.73639435272,-4.04456195940283,0.276308886367527,-14.6378280212929,1.61133902723154e-48,1.37431105632578e-44,"AGAP11","ArfGAP with GTPase domain, ankyrin repeat and PH domain 11","ncRNA","ENSG00000271880"
"10974",5190.92584704776,-4.43638863846,0.317385988095996,-13.9778969609653,2.12680196094581e-44,1.36046204436801e-40,"ADIRF","adipogenesis regulatory factor","protein-coding","ENSG00000148671"
"84913",693.200967070054,-3.89981681150147,0.28803368993709,-13.539446765249,9.14752375280381e-42,4.68115380525982e-38,"ATOH8","atonal bHLH transcription factor 8","protein-coding","ENSG00000168874"
"1675",12737.5086304698,-4.8254682414512,0.36556577659423,-13.1999999737595,8.77350848231513e-40,3.74146269228329e-36,"CFD","complement factor D","protein-coding","ENSG00000197766"
"5138",1517.02002176793,-3.11587586655194,0.245632102548158,-12.6851329049755,7.14924796621597e-37,2.61325439587954e-33,"PDE2A","phosphodiesterase 2A","protein-coding","ENSG00000186642"
"7079",1560.24791690697,-5.28869366665195,0.420150548545855,-12.5876157604844,2.4702235891034e-36,7.90070137179859e-33,"TIMP4","TIMP metallopeptidase inhibitor 4","protein-coding","ENSG00000157150"
"5468",1427.49319594883,-2.97234610636637,0.236796873487217,-12.5523030038099,3.86114356716862e-36,1.09772311614604e-32,"PPARG","peroxisome proliferator activated receptor gamma","protein-coding","ENSG00000132170"
"4653",1008.27714391164,-7.91609978220513,0.634763127801309,-12.4709508720598,1.07535134092809e-35,2.75150147603269e-32,"MYOC","myocilin","protein-coding","ENSG00000034971"
"338328",1215.48963573593,-4.34564215131008,0.365931166591112,-11.8755726433268,1.58544643184062e-32,3.68789253195509e-29,"GPIHBP1","glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1","protein-coding","ENSG00000277494"
"114787",169.051601508587,3.09600049063893,0.264143320490633,11.7209115297266,9.95945517583063e-32,2.12360482986649e-28,"GPRIN1","G protein regulated inducer of neurite outgrowth 1","protein-coding","ENSG00000169258"
"26112",2321.86812747316,-3.28876630362269,0.28109804882782,-11.6997123151045,1.27886313415656e-31,2.51709777028184e-28,"CCDC69","coiled-coil domain containing 69","protein-coding","ENSG00000198624"
"2934",49553.8700006139,-2.49813576852067,0.214372922192329,-11.6532244043369,2.20937814602732e-31,4.03795418731435e-28,"GSN","gelsolin","protein-coding","ENSG00000148180"
"79812",5356.17953910345,-2.83853753130845,0.243984313345618,-11.6340984893053,2.76495951635057e-31,4.7164679429908e-28,"MMRN2","multimerin 2","protein-coding","ENSG00000173269"
"339983",1304.91943394156,-3.46609019768255,0.299105122521697,-11.588200725085,4.72963547272581e-31,7.56357392753971e-28,"NAT8L","N-acetyltransferase 8 like","protein-coding","ENSG00000185818"
"2159",410.236329498601,-3.55347388707409,0.306883864832399,-11.5792138143685,5.252554574195e-31,7.90571258176044e-28,"F10","coagulation factor X","protein-coding","ENSG00000126218"
"3489",4030.56772560573,-3.79743768156218,0.329414074642378,-11.5278549821673,9.54933614499185e-31,1.35743813301059e-27,"IGFBP6","insulin like growth factor binding protein 6","protein-coding","ENSG00000167779"
"10249",376.710153664715,-5.90099876884737,0.512405941492194,-11.5162575040853,1.09254000359894e-30,1.47130637221505e-27,"GLYAT","glycine-N-acyltransferase","protein-coding","ENSG00000149124"
"5348",1043.3491460983,-3.98672035875505,0.352774900334478,-11.3010317768501,1.29685270116326e-29,1.65912850323322e-26,"FXYD1","FXYD domain containing ion transport regulator 1","protein-coding","ENSG00000266964"
"7122",2402.10290334238,-4.2164005183571,0.374130074430132,-11.2698785971148,1.84824562483132e-29,2.25195527631234e-26,"CLDN5","claudin 5","protein-coding","ENSG00000184113"
"3991",7378.60095213995,-4.73186681031892,0.420254814631431,-11.2595183816486,2.0789175148247e-29,2.4178755659918e-26,"LIPE","lipase E, hormone sensitive type","protein-coding","ENSG00000079435"
